,time,open,high,low,close,volume,ticker
1075,2018-05-07,35630,35690,35010,35010,16530,IMP
1076,2018-05-08,35010,35630,34960,35010,71030,IMP
1077,2018-05-09,35240,35240,34960,34960,64520,IMP
1078,2018-05-10,34960,35240,34960,34960,41560,IMP
1079,2018-05-11,35240,35240,34960,34960,4110,IMP
1080,2018-05-14,35240,35630,35240,35580,23100,IMP
1081,2018-05-15,35580,35580,35580,35580,30,IMP
1082,2018-05-16,35520,35520,34960,35520,1360,IMP
1083,2018-05-17,35240,35580,34960,35010,30480,IMP
1084,2018-05-18,35010,35630,34790,35630,5530,IMP
1085,2018-05-21,35580,35580,34960,34960,4130,IMP
1086,2018-05-22,35630,35630,34790,35520,18210,IMP
1087,2018-05-23,35520,35520,34670,34670,9590,IMP
1088,2018-05-24,34960,34960,34670,34670,6380,IMP
1089,2018-05-25,34960,34960,34670,34670,810,IMP
1090,2018-05-28,34900,34900,32280,32280,27220,IMP
1091,2018-05-29,32280,34500,30120,34500,1443440,IMP
1092,2018-05-30,34100,34500,33080,33080,2670,IMP
1093,2018-05-31,33080,34670,33080,34670,9970,IMP
1094,2018-06-01,34550,34670,34100,34210,2920,IMP
1095,2018-06-04,35980,35980,35070,35330,3920,IMP
1096,2018-06-05,37610,37610,36310,36310,6440,IMP
1097,2018-06-06,36310,36310,36310,36310,2890,IMP
1098,2018-06-07,36310,36640,36050,36050,11510,IMP
1099,2018-06-08,35910,35910,35850,35910,7300,IMP
1100,2018-06-11,35650,35980,35650,35980,17510,IMP
1101,2018-06-12,34350,34740,34350,34670,2600,IMP
1102,2018-06-13,35330,35650,35330,35330,3750,IMP
1103,2018-06-14,36640,36640,35330,35330,2440,IMP
1104,2018-06-15,35330,35330,34810,35000,600,IMP
1105,2018-06-18,33690,35330,33690,34610,28410,IMP
1106,2018-06-19,34350,35980,33620,34670,26080,IMP
1107,2018-06-20,35520,35520,34610,34610,430,IMP
1108,2018-06-21,34150,36640,33560,35200,28900,IMP
1109,2018-06-22,33890,34670,33890,34020,1340,IMP
1110,2018-06-25,34740,34740,34670,34670,110,IMP
1111,2018-06-26,34610,34670,34020,34670,9070,IMP
1112,2018-06-27,35000,35000,34410,34410,7780,IMP
1113,2018-06-28,34670,34670,32380,32380,3510,IMP
1114,2018-06-29,32780,34350,32680,34350,18340,IMP
1115,2018-07-02,35070,36310,35070,36310,10000,IMP
1116,2018-07-03,35270,35270,33820,33820,1550,IMP
1117,2018-07-04,33820,34210,32780,34210,670,IMP
1118,2018-07-05,33490,33820,33360,33820,640,IMP
1119,2018-07-06,33820,34020,33820,34020,1010,IMP
1120,2018-07-09,33360,34020,33360,34020,12580,IMP
1121,2018-07-10,34020,34020,33360,33490,3170,IMP
1122,2018-07-11,33950,34350,33360,34350,19270,IMP
